setting,model,method,seed,zero_activity,nominal_coverage,observed_coverage,coverage_gap,average_set_size,singleton_rate,ambiguity_rate,empty_set_rate,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,deferral_rate,n_automatic,undercoverage,overcoverage,n_test,n_pass,n_fail,coverage_ci_lower,coverage_ci_upper,pass_ci_lower,pass_ci_upper,fail_ci_lower,fail_ci_upper,automatic_error_ci_lower,automatic_error_ci_upper,automatic_false_negative_fraction,automatic_false_positive_fraction,failure_rate
course_1,catboost,EIQ-batch,7,0,0.9,0.9547021171836534,0.054702117183653365,1.8695224027572623,0.13047759724273758,0.8695224027572624,0.0,0.9836538461538461,0.9243188698284561,0.13047759724273758,0.3471698113207547,0.8695224027572624,265,0.0,0.054702117183653365,2031,1040,991,0.9447674546240459,0.9629199683904435,0.9739783433638015,0.9897695433474175,0.906163713003132,0.9391971156428102,0.2924040038877701,0.40630318080272976,0.07568113017154389,0.016346153846153847,0.4879369768586903
course_1,catboost,EIQ-batch,7,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,catboost,EIQ-batch,19,0,0.9,0.8892171344165436,0.010782865583456425,1.7168882323978336,0.28311176760216644,0.7168882323978336,0.0,0.7875,0.9959636730575177,0.28311176760216644,0.391304347826087,0.7168882323978336,575,0.010782865583456425,0.0,2031,1040,991,0.8748254421235153,0.9021392659359906,0.761603205607736,0.8112807270496287,0.9896678742332425,0.9984292655514913,0.3522610505099723,0.4317903540755434,0.004036326942482341,0.2125,0.4879369768586903
course_1,catboost,EIQ-batch,19,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,catboost,EIQ-batch,42,0,0.9,0.9438700147710487,0.04387001477104868,1.8375184638109305,0.16248153618906944,0.8375184638109305,0.0,0.9115384615384615,0.9778002018163471,0.16248153618906944,0.34545454545454546,0.8375184638109305,330,0.0,0.04387001477104868,2031,1040,991,0.9329961769083082,0.953067939873026,0.8927310627412458,0.9273168408619387,0.9666159249120033,0.9852945444431777,0.2961932949189916,0.3982724543012569,0.022199798183652877,0.08846153846153847,0.4879369768586903
course_1,catboost,EIQ-batch,42,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,catboost,EIQ-batch,73,0,0.9,0.9389463318562284,0.03894633185622842,1.825701624815362,0.17429837518463812,0.8257016248153619,0.0,0.8923076923076924,0.987891019172553,0.17429837518463812,0.3502824858757062,0.8257016248153619,354,0.0,0.03894633185622842,2031,1040,991,0.9276817076733034,0.9485536335475057,0.8720033062152288,0.9097246018924798,0.9789544026016515,0.9930597725477255,0.3024354531275045,0.4013439793917608,0.012108980827447022,0.1076923076923077,0.4879369768586903
course_1,catboost,EIQ-batch,73,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,catboost,EIQ-batch,101,0,0.9,0.9586410635155096,0.05864106351550957,1.8838010832102412,0.11619891678975874,0.8838010832102413,0.0,0.9490384615384615,0.9687184661957619,0.11619891678975874,0.3559322033898305,0.8838010832102413,236,0.0,0.05864106351550957,2031,1040,991,0.9490804219931093,0.9664700214698001,0.9339428197864555,0.9608290750329068,0.955941020984577,0.9778761131558277,0.2976009632860347,0.4188784129887865,0.03128153380423814,0.05096153846153846,0.4879369768586903
course_1,catboost,EIQ-batch,101,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,catboost,EQ,7,0,0.9,0.982274741506647,0.08227474150664693,1.9497784342688331,0.050221565731166914,0.9497784342688331,0.0,0.9836538461538461,0.9808274470232089,0.050221565731166914,0.35294117647058826,0.9497784342688331,102,0.0,0.08227474150664693,2031,1040,991,0.9755592604432883,0.9871693057101412,0.9739783433638015,0.9897695433474175,0.9702495375358658,0.9876920435575739,0.26707997479873313,0.4494772199502266,0.01917255297679112,0.016346153846153847,0.4879369768586903
course_1,catboost,EQ,7,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,catboost,EQ,19,0,0.9,0.8892171344165436,0.010782865583456425,1.7168882323978336,0.28311176760216644,0.7168882323978336,0.0,0.7875,0.9959636730575177,0.28311176760216644,0.391304347826087,0.7168882323978336,575,0.010782865583456425,0.0,2031,1040,991,0.8748254421235153,0.9021392659359906,0.761603205607736,0.8112807270496287,0.9896678742332425,0.9984292655514913,0.3522610505099723,0.4317903540755434,0.004036326942482341,0.2125,0.4879369768586903
course_1,catboost,EQ,19,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
course_1,catboost,EQ,42,0,0.9,0.8714918759231906,0.02850812407680947,1.675036927621861,0.3249630723781389,0.6750369276218612,0.0,0.7701923076923077,0.9778002018163471,0.3249630723781389,0.39545454545454545,0.6750369276218612,660,0.02850812407680947,0.0,2031,1040,991,0.8562331406401189,0.8853479754014968,0.7436567242564082,0.7947392124550284,0.9666159249120033,0.9852945444431777,0.35886010474708296,0.43325893487247447,0.022199798183652877,0.2298076923076923,0.4879369768586903
course_1,catboost,EQ,42,1,0.9,1.0,0.09999999999999998,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.09999999999999998,69,26,43,0.9472627418109483,1.0,0.8712710781407846,1.0,0.9179901967742088,1.0,,,0.0,0.0,0.6231884057971014
