roc_auc,pr_auc,macro_f1,balanced_accuracy,brier,nll,ece,calibration_slope,calibration_intercept,setting,model,seed,calibration,kind,n_test,n_train,n_calibrator_fit,n_conformal_score,n_features,features,nominal_coverage,observed_coverage,coverage_gap,average_set_size,singleton_rate,ambiguity_rate,empty_set_rate,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,deferral_rate,n_automatic,undercoverage,overcoverage,n_pass,n_fail,coverage_ci_lower,coverage_ci_upper,pass_ci_lower,pass_ci_upper,fail_ci_lower,fail_ci_upper,automatic_error_ci_lower,automatic_error_ci_upper,automatic_false_negative_fraction,automatic_false_positive_fraction,method,alpha,domain_auc,weight_min,weight_median,weight_mean,weight_max,raw_weight_p99,effective_sample_size,weight_cap,ess_class_0,ess_class_1
0.6801542197538181,0.7043076582001655,0.6144817187072111,0.6255917394210428,0.2266934408820583,0.6442794904522456,0.042019834838436,1.3706366201821298,0.2393978404200737,course_DDD,logistic,42,none,probability,5279,16217.0,2706.0,2703.0,12.0,total_clicks|active_days|active_weeks|unique_content|days_since_last_activity|days_to_first_activity|clicks_per_active_day|zero_activity|actions_week_1|actions_week_2|actions_week_3|actions_week_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,course_DDD,logistic,42,none,conformal,5279,,,,,,0.8,0.8177685167645388,0.0177685167645387,1.4201553324493277,0.5798446675506724,0.4201553324493275,0.0,0.9286536248561564,0.7095808383233533,0.5798446675506724,0.3142763802678863,0.4201553324493275,3061.0,0.0,0.0177685167645387,2607.0,2672.0,0.8071251131318741,0.8279497847525209,0.9181293127216604,0.9379165388749892,0.6920772111481048,0.7264827137338461,0.298072335253944,0.3309459956200121,0.2904191616766467,0.0713463751438435,split_cp,0.2,0.840013563024026,,,,,,,,,
,,,,,,,,,course_DDD,logistic,42,none,conformal,5279,,,,,,0.8,0.8285660162909642,0.0285660162909641,1.447622655806024,0.5523773441939761,0.4476226558060239,0.0,0.9098580744150364,0.749251497005988,0.5523773441939761,0.3103566529492455,0.4476226558060239,2916.0,0.0,0.0285660162909641,2607.0,2672.0,0.8181611862367988,0.838493007730702,0.8982532873430199,0.9202567729979376,0.7324668326257094,0.7653205066088967,0.2938235546016013,0.3273887558617527,0.2507485029940119,0.0901419255849635,mondrian_cp,0.2,0.840013563024026,,,,,,,,,
,,,,,,,,,course_DDD,logistic,42,none,conformal,5279,,,,,,0.85,0.8751657510892215,0.0251657510892214,1.565826861147945,0.4341731388520553,0.5658268611479447,0.0,0.9593402378212504,0.7930389221556886,0.4341731388520553,0.287521815008726,0.5658268611479447,2292.0,0.0,0.0251657510892214,2607.0,2672.0,0.8659757226451049,0.8838101702073803,0.9510585341824608,0.9662702419132776,0.7772624301883366,0.8079740362091057,0.2693600077544759,0.3063946697918061,0.2069610778443113,0.0406597621787495,split_cp,0.15,0.840013563024026,,,,,,,,,
,,,,,,,,,course_DDD,logistic,42,none,conformal,5279,,,,,,0.85,0.8797120666792954,0.0297120666792953,1.5751089221443455,0.4248910778556545,0.5751089221443455,0.0,0.9532029152282316,0.8080089820359282,0.4248910778556545,0.2831029870708872,0.5751089221443455,2243.0,0.0,0.0297120666792953,2607.0,2672.0,0.8706596725854242,0.8882122396704742,0.944407302096396,0.9606648890995244,0.7926368981000305,0.8224967057889798,0.2648422888640373,0.3021053494839299,0.1919910179640718,0.0467970847717683,mondrian_cp,0.15,0.840013563024026,,,,,,,,,
,,,,,,,,,course_DDD,logistic,42,none,conformal,5279,,,,,,0.9,0.9187346088274294,0.0187346088274293,1.6917976889562416,0.3082023110437583,0.6917976889562417,0.0,0.9777522056003068,0.8611526946107785,0.3082023110437583,0.2636754763368162,0.6917976889562417,1627.0,0.0,0.0187346088274293,2607.0,2672.0,0.9110556213591444,0.9258046241093828,0.9713483770088918,0.9827501537863002,0.847522294519988,0.8737461474640885,0.2428397751060732,0.2856245058080967,0.1388473053892215,0.0222477943996931,split_cp,0.1,0.840013563024026,,,,,,,,,
,,,,,,,,,course_DDD,logistic,42,none,conformal,5279,,,,,,0.9,0.9336995643114226,0.0336995643114226,1.7285470733093389,0.2714529266906611,0.7285470733093389,0.0,0.976601457614116,0.8918413173652695,0.2714529266906611,0.2442428471737613,0.7285470733093389,1433.0,0.0,0.0336995643114226,2607.0,2672.0,0.9266675061416132,0.9401008865298156,0.9700595242531764,0.9817408968732996,0.8794976275752715,0.9030599462665192,0.2227011345694989,0.2671521157664017,0.1081586826347305,0.0233985423858841,mondrian_cp,0.1,0.840013563024026,,,,,,,,,
,,,,,,,,,course_DDD,logistic,42,none,conformal,5279,,,,,,0.95,0.9571888615268044,0.0071888615268043,1.8189050956620567,0.1810949043379427,0.8189050956620572,0.0,0.9907940161104718,0.9244011976047904,0.1810949043379427,0.2364016736401673,0.8189050956620572,956.0,0.0,0.0071888615268043,2607.0,2672.0,0.9513875704005316,0.962325255855198,0.9863379896536196,0.993805784053685,0.9137571500013556,0.9338266978845956,0.2105573801915636,0.2643559032800235,0.0755988023952095,0.0092059838895281,split_cp,0.05,0.840013563024026,,,,,,,,,
,,,,,,,,,course_DDD,logistic,42,none,conformal,5279,,,,,,0.95,0.966281492706952,0.0162814927069521,1.8440992612237168,0.1559007387762833,0.8440992612237166,0.0,0.9900268507863444,0.94311377245509,0.1559007387762833,0.2162818955042527,0.8440992612237166,823.0,0.0,0.0162814927069521,2607.0,2672.0,0.9610632009485582,0.970821664113998,0.9854267423534334,0.9931849582413942,0.93367847050549,0.9512767992449208,0.189506552504407,0.2456935151529745,0.0568862275449101,0.0099731492136555,mondrian_cp,0.05,0.840013563024026,,,,,,,,,
0.6801542197538181,0.7043076582001655,0.5497135085931418,0.6001801058412519,0.2377614314352841,0.6687214317485878,0.1151954506437848,1.277618272367201,0.644155846951107,course_DDD,logistic,42,platt,probability,5279,16217.0,2706.0,2703.0,12.0,total_clicks|active_days|active_weeks|unique_content|days_since_last_activity|days_to_first_activity|clicks_per_active_day|zero_activity|actions_week_1|actions_week_2|actions_week_3|actions_week_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
