setting,model,method,observed_coverage_mean,observed_coverage_min,observed_coverage_max,observed_coverage_std,pass_coverage_mean,pass_coverage_min,pass_coverage_max,pass_coverage_std,fail_coverage_mean,fail_coverage_min,fail_coverage_max,fail_coverage_std,automatic_coverage_mean,automatic_coverage_min,automatic_coverage_max,automatic_coverage_std,automatic_error_rate_mean,automatic_error_rate_min,automatic_error_rate_max,automatic_error_rate_std
course_1,catboost,EIQ-batch,0.9391428571428572,0.8928571428571429,0.96,0.026992902401285917,0.9071294559099436,0.7926829268292683,0.9840525328330206,0.07257599738267921,0.9721470019342361,0.9274661508704062,0.9961315280464216,0.026848630667489375,0.16761904761904758,0.1123809523809523,0.2738095238095238,0.06355046916836472,0.35802867877338473,0.3454545454545454,0.391304347826087,0.01902427853704703
course_1,catboost,EQ,0.9304761904761903,0.8757142857142857,0.9828571428571428,0.04510883789498266,0.8795497185741088,0.775797373358349,0.9840525328330206,0.0928316859218405,0.9829787234042554,0.970019342359768,0.9961315280464216,0.009876921804012903,0.18352380952380948,0.0485714285714285,0.3142857142857143,0.11039385273233489,0.3691829518033515,0.3502824858757062,0.3954545454545454,0.022226999385480565
course_1,catboost,MCP,0.9304761904761903,0.8757142857142857,0.9828571428571428,0.04510883789498266,0.8795497185741088,0.775797373358349,0.9840525328330206,0.0928316859218405,0.9829787234042554,0.970019342359768,0.9961315280464216,0.009876921804012903,0.18352380952380948,0.0485714285714285,0.3142857142857143,0.11039385273233489,0.3691829518033515,0.3502824858757062,0.3954545454545454,0.022226999385480565
course_1,logistic,EIQ-batch,0.9243809523809524,0.9052380952380952,0.9438095238095238,0.015791297583323555,0.9482176360225141,0.8592870544090057,1.0,0.06054255223801063,0.8998065764023211,0.8423597678916828,0.988394584139265,0.05557605600472267,0.23199999999999993,0.17,0.2933333333333333,0.055866093546651924,0.3281293332703278,0.3042016806722689,0.345360824742268,0.015722753601537926
course_1,logistic,EQ,0.8963809523809523,0.8638095238095238,0.958095238095238,0.0373234316315211,0.8262664165103188,0.7551594746716698,0.9352720450281424,0.06703347071595822,0.9686653771760154,0.9119922630560928,0.995164410058027,0.03345725077050621,0.2971428571428571,0.1442857142857143,0.4009523809523809,0.09605306073306809,0.3425465365811111,0.2904290429042904,0.3719346049046321,0.03129546557575118
course_1,logistic,MCP,0.9116190476190476,0.87,0.9661904761904762,0.047221675333634514,0.8562851782363976,0.7551594746716698,0.9662288930581614,0.09079929186462098,0.9686653771760154,0.9119922630560928,0.995164410058027,0.03345725077050621,0.25895238095238093,0.1171428571428571,0.3857142857142857,0.12151369565317531,0.3288497205947406,0.2886178861788618,0.3719346049046321,0.03797291742489934
course_2,catboost,EIQ-batch,0.9561467889908257,0.9325688073394496,0.9770642201834864,0.01769655569580298,0.9454836131095125,0.9104716227018386,0.9792166266986412,0.0305769762936794,0.9705059203444565,0.9311087190527448,1.0,0.027775135187171927,0.11110091743119262,0.0564220183486238,0.1720183486238532,0.041150905463340964,0.39605514546679854,0.2921810699588477,0.4878048780487805,0.06958142808160582
course_2,catboost,EQ,0.9516513761467891,0.9077981651376148,0.9770642201834864,0.027158520211884106,0.9553956834532376,0.9104716227018386,0.9832134292565948,0.03366057664072788,0.9466092572658773,0.8805166846071044,0.9913885898815932,0.04318200383571907,0.1295412844036697,0.0564220183486238,0.2646788990825688,0.07898810851062983,0.3832018970380817,0.2921810699588477,0.4878048780487805,0.07243638231153968
course_2,catboost,MCP,0.9516513761467891,0.9077981651376148,0.9770642201834864,0.027158520211884106,0.9553956834532376,0.9104716227018386,0.9832134292565948,0.03366057664072788,0.9466092572658773,0.8805166846071044,0.9913885898815932,0.04318200383571907,0.1295412844036697,0.0564220183486238,0.2646788990825688,0.07898810851062983,0.3832018970380817,0.2921810699588477,0.4878048780487805,0.07243638231153968
course_2,logistic,EIQ-batch,0.9430275229357798,0.8885321100917432,0.9743119266055046,0.03541539896663592,0.9565147881694644,0.9328537170263788,0.9832134292565948,0.020028726954516973,0.9248654467168999,0.8288482238966631,1.0,0.06945827625808307,0.19550458715596325,0.0715596330275229,0.3752293577981651,0.12662312069970744,0.30718499644634745,0.238341968911917,0.3659793814432989,0.05472798264646537
course_2,logistic,EQ,0.9246788990825688,0.9146788990825688,0.9389908256880732,0.009738392744252415,0.9729816147082333,0.9544364508393284,0.9832134292565948,0.011780740800601562,0.8596340150699678,0.8288482238966631,0.8902045209903121,0.027910385924217716,0.281743119266055,0.2399082568807339,0.3059633027522935,0.02882690856391081,0.26686735043220017,0.2527472527472527,0.2788605697151424,0.012376119588901393
course_2,logistic,MCP,0.933211009174312,0.9146788990825688,0.969724770642202,0.022576544508015377,0.9729816147082333,0.9544364508393284,0.9832134292565948,0.011780740800601562,0.8796555435952638,0.8288482238966631,0.9903121636167922,0.06567699982244349,0.24477064220183484,0.0798165137614679,0.3059633027522935,0.09614092355524458,0.28761676775127026,0.2527472527472527,0.3793103448275862,0.052506642258491026
iid,catboost,EIQ-batch,0.9616822429906542,0.9310747663551402,0.977803738317757,0.01983230640458971,0.9625,0.9267241379310344,1.0,0.026333702403630983,0.9607142857142857,0.9362244897959184,0.9948979591836736,0.02242867820442174,0.17289719626168223,0.0981308411214953,0.3072429906542056,0.08222091754555752,0.2185834736688667,0.1862745098039215,0.2515723270440251,0.024597466963748076
iid,catboost,EQ,0.9616822429906542,0.9310747663551402,0.977803738317757,0.01983230640458971,0.9625,0.9267241379310344,1.0,0.026333702403630983,0.9607142857142857,0.9362244897959184,0.9948979591836736,0.02242867820442174,0.17289719626168223,0.0981308411214953,0.3072429906542056,0.08222091754555752,0.2185834736688667,0.1862745098039215,0.2515723270440251,0.024597466963748076
iid,catboost,MCP,0.9616822429906542,0.9310747663551402,0.977803738317757,0.01983230640458971,0.9625,0.9267241379310344,1.0,0.026333702403630983,0.9607142857142857,0.9362244897959184,0.9948979591836736,0.02242867820442174,0.17289719626168223,0.0981308411214953,0.3072429906542056,0.08222091754555752,0.2185834736688667,0.1862745098039215,0.2515723270440251,0.024597466963748076
