setting,seed,model,class_weight,calibration,bins,ece
course_1,42,logistic,balanced,platt,5,0.021852334825636695
course_1,42,logistic,balanced,platt,10,0.030338875224818946
course_1,42,logistic,balanced,platt,15,0.037089692199022126
course_1,42,logistic,unweighted,isotonic,5,0.05714527145000316
course_1,42,logistic,unweighted,isotonic,10,0.0658203153787576
course_1,42,logistic,unweighted,isotonic,15,0.06629851363094369
course_1,42,logistic,unweighted,none,5,0.055078594739074796
course_1,42,logistic,unweighted,none,10,0.05507859473907477
course_1,42,logistic,unweighted,none,15,0.055697909101757266
course_1,42,logistic,unweighted,platt,5,0.02565931109211192
course_1,42,logistic,unweighted,platt,10,0.03401092237726098
course_1,42,logistic,unweighted,platt,15,0.03681295853824923
course_1,73,catboost,balanced,isotonic,5,0.03419273141526402
course_1,73,catboost,balanced,isotonic,10,0.05506574728827993
course_1,73,catboost,balanced,isotonic,15,0.03431753984911727
course_1,73,catboost,balanced,none,5,0.1239056652530415
course_1,73,catboost,balanced,none,10,0.12652652307079917
course_1,73,catboost,balanced,none,15,0.12741544724541792
course_1,73,catboost,balanced,platt,5,0.012549964334708157
course_1,73,catboost,balanced,platt,10,0.017191906004367322
course_1,73,catboost,balanced,platt,15,0.02129060171792694
course_1,73,catboost,unweighted,isotonic,5,0.07192216549557351
course_1,73,catboost,unweighted,isotonic,10,0.0719221654955735
course_1,73,catboost,unweighted,isotonic,15,0.07497044094383064
course_1,73,catboost,unweighted,none,5,0.09376814326852585
course_1,73,catboost,unweighted,none,10,0.09376814326852588
course_1,73,catboost,unweighted,none,15,0.09376814326852587
course_1,73,catboost,unweighted,platt,5,0.015943358059996488
course_1,73,catboost,unweighted,platt,10,0.023998022387938505
course_1,73,catboost,unweighted,platt,15,0.023872193364895305
course_1,73,logistic,balanced,isotonic,5,0.05676480797771981
course_1,73,logistic,balanced,isotonic,10,0.058075674893063325
course_1,73,logistic,balanced,isotonic,15,0.05760480265461924
course_1,73,logistic,balanced,none,5,0.1153191009543568
course_1,73,logistic,balanced,none,10,0.11958214525733576
course_1,73,logistic,balanced,none,15,0.11979681751250974
course_1,73,logistic,balanced,platt,5,0.006886920732444378
course_1,73,logistic,balanced,platt,10,0.02041100843230544
course_1,73,logistic,balanced,platt,15,0.024776312558093233
course_1,73,logistic,unweighted,isotonic,5,0.05321608925150685
course_1,73,logistic,unweighted,isotonic,10,0.05321608925150685
course_1,73,logistic,unweighted,isotonic,15,0.05427510716378655
course_1,73,logistic,unweighted,none,5,0.07815095745679664
course_1,73,logistic,unweighted,none,10,0.07815095745679655
course_1,73,logistic,unweighted,none,15,0.0781509574567966
course_1,73,logistic,unweighted,platt,5,0.007729518576819384
course_1,73,logistic,unweighted,platt,10,0.02308479363327506
course_1,73,logistic,unweighted,platt,15,0.026005684670940134
course_1,101,catboost,balanced,isotonic,5,0.048246136117372725
course_1,101,catboost,balanced,isotonic,10,0.049323116467407224
course_1,101,catboost,balanced,isotonic,15,0.061811106582919245
course_1,101,catboost,balanced,none,5,0.0947176394392304
course_1,101,catboost,balanced,none,10,0.09488490596582531
course_1,101,catboost,balanced,none,15,0.09522844533451352
course_1,101,catboost,balanced,platt,5,0.039963611369403906
course_1,101,catboost,balanced,platt,10,0.04004294899110101
course_1,101,catboost,balanced,platt,15,0.040275930705869586
course_1,101,catboost,unweighted,isotonic,5,0.052526444475724555
course_1,101,catboost,unweighted,isotonic,10,0.06484541522799338
course_1,101,catboost,unweighted,isotonic,15,0.060200806405250974
course_1,101,catboost,unweighted,none,5,0.08381517464962057
course_1,101,catboost,unweighted,none,10,0.0874624158042955
course_1,101,catboost,unweighted,none,15,0.09156333166129817
course_1,101,catboost,unweighted,platt,5,0.039941976172893266
course_1,101,catboost,unweighted,platt,10,0.039941976172893245
course_1,101,catboost,unweighted,platt,15,0.053833492525856015
course_1,101,logistic,balanced,isotonic,5,0.09514687857786225
course_1,101,logistic,balanced,isotonic,10,0.0954317807935143
course_1,101,logistic,balanced,isotonic,15,0.10206824254638619
course_1,101,logistic,balanced,none,5,0.0862280072554799
course_1,101,logistic,balanced,none,10,0.08628426467633842
course_1,101,logistic,balanced,none,15,0.08838258228995495
course_1,101,logistic,balanced,platt,5,0.05971176582928961
course_1,101,logistic,balanced,platt,10,0.06700643464913493
course_1,101,logistic,balanced,platt,15,0.06301237253585132
course_1,101,logistic,unweighted,isotonic,5,0.09088733448682447
course_1,101,logistic,unweighted,isotonic,10,0.0912608601465955
course_1,101,logistic,unweighted,isotonic,15,0.10173410940027935
course_1,101,logistic,unweighted,none,5,0.03401464633853912
course_1,101,logistic,unweighted,none,10,0.036088824775180973
course_1,101,logistic,unweighted,none,15,0.04705427386684128
course_1,101,logistic,unweighted,platt,5,0.06188233955687685
course_1,101,logistic,unweighted,platt,10,0.061882339556876775
course_1,101,logistic,unweighted,platt,15,0.06387502152164147
course_2,7,catboost,balanced,isotonic,5,0.09799085425112297
course_2,7,catboost,balanced,isotonic,10,0.09828746335186009
course_2,7,catboost,balanced,isotonic,15,0.0988305029866002
course_2,7,catboost,balanced,none,5,0.09115397691557042
course_2,7,catboost,balanced,none,10,0.09115397691557048
course_2,7,catboost,balanced,none,15,0.09120855448891721
course_2,7,catboost,balanced,platt,5,0.06604869547299476
course_2,7,catboost,balanced,platt,10,0.06604869547299476
course_2,7,catboost,balanced,platt,15,0.06614774685373867
course_2,7,catboost,unweighted,isotonic,5,0.10673585985244398
course_2,7,catboost,unweighted,isotonic,10,0.10701546706184135
course_2,7,catboost,unweighted,isotonic,15,0.10701546706184135
course_2,7,catboost,unweighted,none,5,0.08716991703842787
course_2,7,catboost,unweighted,none,10,0.08716991703842784
course_2,7,catboost,unweighted,none,15,0.08716991703842784
course_2,7,catboost,unweighted,platt,5,0.05928441848326259
course_2,7,catboost,unweighted,platt,10,0.07009979183096139
course_2,7,catboost,unweighted,platt,15,0.06621972705835806
course_2,7,logistic,balanced,isotonic,5,0.05507172262416409
course_2,7,logistic,balanced,isotonic,10,0.05603953615609434
course_2,7,logistic,balanced,isotonic,15,0.05621438826524619
course_2,7,logistic,balanced,none,5,0.026674167810769287
course_2,7,logistic,balanced,none,10,0.026924131654874065
course_2,7,logistic,balanced,none,15,0.030895438050674285
course_2,7,logistic,balanced,platt,5,0.029025896742411683
course_2,7,logistic,balanced,platt,10,0.0300010079928031
course_2,7,logistic,balanced,platt,15,0.032532860496994616
course_2,7,logistic,unweighted,isotonic,5,0.05518433787750575
course_2,7,logistic,unweighted,isotonic,10,0.05627808205471981
course_2,7,logistic,unweighted,isotonic,15,0.056974025409012946
course_2,7,logistic,unweighted,none,5,0.0336330191949427
course_2,7,logistic,unweighted,none,10,0.03363301919494272
course_2,7,logistic,unweighted,none,15,0.03503464075158351
course_2,7,logistic,unweighted,platt,5,0.029757875609199243
course_2,7,logistic,unweighted,platt,10,0.030737879654139683
course_2,7,logistic,unweighted,platt,15,0.03209468347142328
course_2,19,catboost,balanced,isotonic,5,0.08375041347545759
course_2,19,catboost,balanced,isotonic,10,0.08378230723527696
course_2,19,catboost,balanced,isotonic,15,0.08378230723527698
course_2,19,catboost,balanced,none,5,0.08101606663431421
course_2,19,catboost,balanced,none,10,0.08101606663431422
course_2,19,catboost,balanced,none,15,0.08112421157361951
course_2,19,catboost,balanced,platt,5,0.07186490156576168
course_2,19,catboost,balanced,platt,10,0.07666079692157815
course_2,19,catboost,balanced,platt,15,0.07392372904179571
course_2,19,catboost,unweighted,isotonic,5,0.07945837643437426
course_2,19,catboost,unweighted,isotonic,10,0.08036378886497608
course_2,19,catboost,unweighted,isotonic,15,0.0801767730843024
course_2,19,catboost,unweighted,none,5,0.0692121948815173
course_2,19,catboost,unweighted,none,10,0.0692121948815173
course_2,19,catboost,unweighted,none,15,0.0692121948815173
course_2,19,catboost,unweighted,platt,5,0.075190572790136
course_2,19,catboost,unweighted,platt,10,0.08162966541631124
course_2,19,catboost,unweighted,platt,15,0.08299646116853246
course_2,19,logistic,balanced,isotonic,5,0.023317886045064833
course_2,19,logistic,balanced,isotonic,10,0.027414013786525426
course_2,19,logistic,balanced,isotonic,15,0.028120519869725656
course_2,19,logistic,balanced,none,5,0.04510288684979499
course_2,19,logistic,balanced,none,10,0.045269128141084684
course_2,19,logistic,balanced,none,15,0.04520915801949188
course_2,19,logistic,balanced,platt,5,0.018529674668521637
course_2,19,logistic,balanced,platt,10,0.02051602167252049
course_2,19,logistic,balanced,platt,15,0.02198482219918153
course_2,19,logistic,unweighted,isotonic,5,0.023530379293812808
course_2,19,logistic,unweighted,isotonic,10,0.02734622727035329
course_2,19,logistic,unweighted,isotonic,15,0.027063354689141065
course_2,19,logistic,unweighted,none,5,0.0525761809066198
course_2,19,logistic,unweighted,none,10,0.05274855755446039
course_2,19,logistic,unweighted,none,15,0.05270870093717023
course_2,19,logistic,unweighted,platt,5,0.019299998520802303
course_2,19,logistic,unweighted,platt,10,0.020346297145469212
course_2,19,logistic,unweighted,platt,15,0.02134645248022106
course_2,42,catboost,balanced,isotonic,5,0.10529148595119081
course_2,42,catboost,balanced,isotonic,10,0.10529148595119077
course_2,42,catboost,balanced,isotonic,15,0.10584564624059349
course_2,42,catboost,balanced,none,5,0.09845982495938313
course_2,42,catboost,balanced,none,10,0.09845982495938314
