Setting,Domain AUC,ESS,Pass ESS,Fail ESS
IID,0.484995570417878,357.8943792877896,174.07024505492234,192.4979004890377
Temporal-1,0.9380711912504736,21.146698750246,10.200884454530966,10.99290269005131
Temporal-2,0.9543174603174605,40.40454428743936,21.24577840488146,19.28200908107977
Course-1,0.8973525007487272,69.39048553457953,37.17872223035105,34.375556365267336
Course-2,0.8944355803749502,51.21279865812576,30.03039773163486,21.75217389610132
