setting,model,comparison,metric,estimate,ci_lower,ci_upper,n_entities,iterations
iid,catboost,weighted_cap10-minus-empirical_mondrian,coverage,0.0,0.0,0.0,856,2000
iid,catboost,weighted_cap10-minus-empirical_mondrian,undercoverage,0.0,0.0,0.0,856,2000
iid,catboost,weighted_cap10-minus-empirical_mondrian,absolute_coverage_gap,0.0,0.0,0.0,856,2000
iid,catboost,weighted_cap10-minus-empirical_mondrian,automatic_coverage,0.0,0.0,0.0,856,2000
iid,catboost,weighted_cap10-minus-empirical_mondrian,automatic_error,0.0,0.0,0.0,856,2000
iid,logistic,weighted_cap10-minus-mondrian_cp,coverage,0.03621495327102797,0.024532710280373737,0.049065420560747586,856,2000
iid,logistic,weighted_cap10-minus-mondrian_cp,undercoverage,0.0,0.0,0.0,856,2000
iid,logistic,weighted_cap10-minus-mondrian_cp,absolute_coverage_gap,0.03621495327102797,0.024532710280373737,0.049065420560747586,856,2000
iid,logistic,weighted_cap10-minus-mondrian_cp,automatic_coverage,-0.11098130841121497,-0.13084112149532712,-0.09112149532710281,856,2000
iid,logistic,weighted_cap10-minus-mondrian_cp,automatic_error,-0.05844155844155843,-0.14036449332285938,0.026978114478114466,856,2000
iid,logistic,weighted_cap10-minus-empirical_mondrian,coverage,0.03621495327102797,0.024532710280373737,0.049065420560747586,856,2000
iid,logistic,weighted_cap10-minus-empirical_mondrian,undercoverage,0.0,0.0,0.0,856,2000
iid,logistic,weighted_cap10-minus-empirical_mondrian,absolute_coverage_gap,0.03621495327102797,0.024532710280373737,0.049065420560747586,856,2000
iid,logistic,weighted_cap10-minus-empirical_mondrian,automatic_coverage,-0.11331775700934581,-0.13434579439252337,-0.09345794392523364,856,2000
iid,logistic,weighted_cap10-minus-empirical_mondrian,automatic_error,-0.05493586168432793,-0.13687204249251167,0.028960784262781106,856,2000
temporal_1,catboost,weighted_cap10-minus-mondrian_cp,coverage,-0.10317460317460325,-0.11976911976911975,-0.08730158730158732,1386,2000
temporal_1,catboost,weighted_cap10-minus-mondrian_cp,undercoverage,0.01327561327561333,0.0,0.030591630591630614,1386,2000
temporal_1,catboost,weighted_cap10-minus-mondrian_cp,absolute_coverage_gap,-0.0766233766233766,-0.09105339105339105,-0.05714285714285705,1386,2000
temporal_1,catboost,weighted_cap10-minus-mondrian_cp,automatic_coverage,0.1904761904761905,0.17099567099567098,0.2106782106782107,1386,2000
temporal_1,catboost,weighted_cap10-minus-mondrian_cp,automatic_error,0.15917745620715923,0.013695102817027623,0.2958935328517371,1386,2000
temporal_1,catboost,weighted_cap10-minus-empirical_mondrian,coverage,-0.10317460317460325,-0.11976911976911975,-0.08730158730158732,1386,2000
temporal_1,catboost,weighted_cap10-minus-empirical_mondrian,undercoverage,0.01327561327561333,0.0,0.030591630591630614,1386,2000
temporal_1,catboost,weighted_cap10-minus-empirical_mondrian,absolute_coverage_gap,-0.0766233766233766,-0.09105339105339105,-0.05714285714285705,1386,2000
temporal_1,catboost,weighted_cap10-minus-empirical_mondrian,automatic_coverage,0.1904761904761905,0.17099567099567098,0.2106782106782107,1386,2000
temporal_1,catboost,weighted_cap10-minus-empirical_mondrian,automatic_error,0.15917745620715923,0.013695102817027623,0.2958935328517371,1386,2000
temporal_1,logistic,weighted_cap10-minus-mondrian_cp,coverage,-0.08946608946608947,-0.10461760461760461,-0.07503607503607501,1386,2000
temporal_1,logistic,weighted_cap10-minus-mondrian_cp,undercoverage,0.04862914862914869,0.030591630591630614,0.06812770562770554,1386,2000
temporal_1,logistic,weighted_cap10-minus-mondrian_cp,absolute_coverage_gap,0.007792207792207906,-0.018199855699855706,0.03667027417027413,1386,2000
temporal_1,logistic,weighted_cap10-minus-mondrian_cp,automatic_coverage,0.23232323232323235,0.20995670995670995,0.2561327561327561,1386,2000
temporal_1,logistic,weighted_cap10-minus-mondrian_cp,automatic_error,0.06825757054764686,0.03288714378175209,0.10368581009558069,1386,2000
temporal_1,logistic,weighted_cap10-minus-empirical_mondrian,coverage,-0.07215007215007219,-0.08585858585858586,-0.059163059163059084,1386,2000
