policy,automatic_coverage,automatic_error_rate,automatic_false_negative_fraction,automatic_false_positive_fraction,expected_n_automatic,setting,model,seed,calibration,matched_method
random,0.6,0.4104761904761909,0.2158607350096711,0.275797373358349,1259.9999999999998,course_1,catboost,42,none,fixed_budget
confidence,0.8,0.3946428571428571,0.2862669245647969,0.3442776735459662,1680.0,course_1,catboost,42,none,fixed_budget
random,0.8,0.4104761904761902,0.2878143133462283,0.3677298311444654,1680.0,course_1,catboost,42,none,fixed_budget
confidence,0.2,0.3619047619047619,0.0377176015473887,0.1060037523452157,420.0,course_1,catboost,42,platt,fixed_budget
random,0.2,0.4066666666666664,0.0682785299806576,0.0939962476547842,420.0,course_1,catboost,42,platt,fixed_budget
confidence,0.4,0.3678571428571429,0.0957446808510638,0.1969981238273921,840.0,course_1,catboost,42,platt,fixed_budget
random,0.4,0.4066666666666664,0.1365570599613153,0.1879924953095685,840.0,course_1,catboost,42,platt,fixed_budget
confidence,0.6,0.3936507936507936,0.1847195357833655,0.2861163227016886,1260.0,course_1,catboost,42,platt,fixed_budget
random,0.6,0.4066666666666672,0.2048355899419728,0.2819887429643527,1259.9999999999998,course_1,catboost,42,platt,fixed_budget
confidence,0.8,0.3946428571428571,0.269825918762089,0.3602251407129456,1680.0,course_1,catboost,42,platt,fixed_budget
random,0.8,0.4066666666666664,0.2731141199226306,0.3759849906191371,1680.0,course_1,catboost,42,platt,fixed_budget
confidence,0.2,0.343646408839779,0.0506107269948812,0.0863039399624765,420.0,course_1,catboost,42,isotonic,fixed_budget
random,0.2,0.4133333333333331,0.0529980657640232,0.1114446529080675,420.0,course_1,catboost,42,isotonic,fixed_budget
confidence,0.4,0.3611927013796173,0.1402321083172147,0.1485946239764339,840.0,course_1,catboost,42,isotonic,fixed_budget
random,0.4,0.4133333333333331,0.1059961315280464,0.2228893058161351,840.0,course_1,catboost,42,isotonic,fixed_budget
confidence,0.6,0.3946729826310978,0.1963249516441005,0.2760675029223107,1260.0,course_1,catboost,42,isotonic,fixed_budget
random,0.6,0.4133333333333339,0.1589941972920696,0.3343339587242027,1259.9999999999998,course_1,catboost,42,isotonic,fixed_budget
confidence,0.8,0.4111879830466217,0.1963249516441005,0.4575945699046198,1680.0,course_1,catboost,42,isotonic,fixed_budget
random,0.8,0.4133333333333331,0.2119922630560929,0.4457786116322703,1680.0,course_1,catboost,42,isotonic,fixed_budget
confidence,0.1571428571428571,0.3454545454545454,0.0212765957446808,0.0863039399624765,330.0,course_1,catboost,42,isotonic,split_cp
random,0.1571428571428571,0.4133333333333335,0.0416413373860182,0.0875636558563388,329.99999999999994,course_1,catboost,42,isotonic,split_cp
singleton,0.1571428571428571,0.3454545454545454,0.0212765957446808,0.0863039399624765,330.0,course_1,catboost,42,isotonic,split_cp
confidence,0.3142857142857143,0.3412355600200903,0.1288350769954155,0.0863039399624765,660.0,course_1,catboost,42,isotonic,mondrian_cp
random,0.3142857142857143,0.4133333333333335,0.0832826747720364,0.1751273117126776,659.9999999999999,course_1,catboost,42,isotonic,mondrian_cp
singleton,0.3142857142857143,0.3954545454545454,0.0212765957446808,0.224202626641651,660.0,course_1,catboost,42,isotonic,mondrian_cp
confidence,0.3142857142857143,0.3412355600200903,0.1288350769954155,0.0863039399624765,660.0,course_1,catboost,42,isotonic,empirical_mondrian
random,0.3142857142857143,0.4133333333333335,0.0832826747720364,0.1751273117126776,659.9999999999999,course_1,catboost,42,isotonic,empirical_mondrian
