roc_auc,pr_auc,macro_f1,balanced_accuracy,brier,nll,ece,week,setting,model,n_test
0.6510737376847291,0.5893491761998564,0.6121495327102804,0.6165112596762843,0.23316756088817245,0.6586755690892928,0.045558854803754704,2,iid,logistic,856
0.6357731131245602,0.5720420981039178,0.607807849951913,0.6077146375791695,0.2368893067612493,0.667448227423987,0.04084441488159045,2,iid,catboost,856
0.6144234171446953,0.49297904508291207,0.5812761368090733,0.5808266766739935,0.2591723197577191,0.8612765723795587,0.10628892708917222,2,temporal_1,logistic,1386
0.5982265587304991,0.48354822486778815,0.5725531757050351,0.5741274861952501,0.24455734166143744,0.683246172418129,0.0808561608942918,2,temporal_1,catboost,1386
0.6881214024071166,0.6230390920407718,0.58769156574858,0.6013949492577164,0.24009657620820876,0.7057661255520583,0.1284417776351785,2,temporal_2,logistic,1399
0.649890604333799,0.6040191083534076,0.5370635018700067,0.577314511510237,0.2743876230372717,0.8199609514904257,0.20138696377382856,2,temporal_2,catboost,1399
0.6100881474519253,0.5804704877688289,0.5748311755737472,0.5795649602084475,0.24668666831127115,0.6944603297590385,0.056241618621611464,2,course_1,logistic,2100
0.5607905327676993,0.5447386636105227,0.5460078768349446,0.5465078512561647,0.2571758093325584,0.7116270165903407,0.0805030003198398,2,course_1,catboost,2100
0.5914958022817483,0.47838392338380403,0.5743336707152497,0.5811325105685097,0.2607898393741309,0.7467302437389202,0.09641341213233168,2,course_2,logistic,2180
0.5515041142543446,0.4506925848488496,0.5478364249130908,0.5499432531477508,0.2643116110896052,0.7339341200357635,0.10051223575172215,2,course_2,catboost,2180
0.6944933145672062,0.6330739254654256,0.6362647647545071,0.6383488740323715,0.22198623034522133,0.6346078283487024,0.04222158844284325,4,iid,logistic,856
0.7001286505981703,0.6487938970903439,0.6490248226950355,0.6485749472202674,0.21871455742105983,0.6277423755267635,0.034871049117210264,4,iid,catboost,856
0.6441859218356297,0.5369139315498053,0.5866356464932824,0.586389320752694,0.23233540805852804,0.66287214811902,0.054137179927819565,4,temporal_1,logistic,1386
0.578189031255026,0.48105783384568335,0.5350898981600015,0.5359631158526779,0.25399562975068674,0.7051759454174085,0.09704271932854355,4,temporal_1,catboost,1386
0.6962797232763487,0.6554414314518011,0.6243624383679076,0.6304126132585075,0.23335371830723953,0.6823525394911277,0.10881639944276048,4,temporal_2,logistic,1399
0.6527810397326708,0.6329934356987249,0.5883847145703903,0.6140774298817043,0.2636738921746816,0.7901196772217393,0.1766074941649801,4,temporal_2,catboost,1399
0.6414351087418031,0.6239375577299129,0.5934346404920313,0.601528336738508,0.24401807600257192,0.7052720891333961,0.0861861848994064,4,course_1,logistic,2100
0.6125558406305682,0.5812799206457275,0.5888342444607783,0.5902849096933165,0.251884739584929,0.7063946114162695,0.08580577777330019,4,course_1,catboost,2100
0.6523177582799207,0.5523274026805873,0.607688071823876,0.6086502165329093,0.22940890185771143,0.6521086924135242,0.022145841461956882,4,course_2,logistic,2180
0.5712046078960298,0.4754528311821097,0.5532097840657406,0.5544145953420256,0.25758349060920616,0.7162019282235618,0.09757551005911032,4,course_2,catboost,2180
0.7079356527093597,0.6520677898445928,0.6634293566342936,0.6642109429978889,0.2175785424705731,0.6242729660787297,0.051211233449394676,6,iid,logistic,856
0.6855097642505279,0.6137001821590125,0.6243520884968453,0.6240763546798029,0.2241503728947935,0.6402325508724025,0.05043730343825329,6,iid,catboost,856
0.6850050930145285,0.5678056931998893,0.6386581056623286,0.638089315391626,0.22444463088149308,0.6533180521439674,0.05460255965033911,6,temporal_1,logistic,1386
0.6657266927571973,0.5430787342575149,0.6261096138930153,0.6310909773226827,0.2401177023208461,0.6932128583064286,0.10729668329168161,6,temporal_1,catboost,1386
0.697918598087327,0.6672530431001075,0.6279317652577441,0.6280382534600757,0.23085326427964262,0.6861392154009289,0.10098030691012563,6,temporal_2,logistic,1399
