Setting,Model,AUC,Cov.,Fail,Review,Error,Missed
B,Logistic,0.6759784178152424,0.8757970612697532,0.9170480549199084,0.5752703077349598,0.2924281984334204,0.0829519450800915
B,CatBoost,0.6675749000163715,0.9007485444968116,0.9284897025171625,0.6501247574161353,0.2836767036450079,0.0715102974828375
J,Logistic,0.6663141223692548,0.9535659669122758,0.9647529069767442,0.8088419296538302,0.2429090909090909,0.0352470930232558
J,CatBoost,0.6622355754125143,0.9619074099819268,0.950218023255814,0.8144028917002641,0.2052434456928838,0.049781976744186
DDD,Logistic,0.6782543945480729,0.963818905095662,0.938248502994012,0.8365220685735935,0.2213209733487833,0.061751497005988
DDD,CatBoost,0.6578903470389486,0.9412767569615458,0.9113023952095808,0.7736313695775715,0.2594142259414226,0.0886976047904191
