setting,model,method,correct_mean,correct_min,correct_max,wrong_mean,wrong_min,wrong_max,deferred_mean,deferred_min,deferred_max,detected_mean,detected_min,detected_max,missed_mean,missed_min,missed_max,fail_deferred_mean,fail_deferred_min,fail_deferred_max
course_1,catboost,EIQ-batch,0.10676190476190477,0.07238095238095238,0.16666666666666666,0.06085714285714285,0.04,0.10714285714285714,0.8323809523809524,0.7261904761904762,0.8876190476190476,0.16673114119922633,0.04061895551257253,0.3317214700193424,0.027852998065764023,0.0038684719535783366,0.0725338491295938,0.8054158607350097,0.6644100580270793,0.8868471953578336
course_1,catboost,EQ,0.11399999999999999,0.03142857142857143,0.19,0.06952380952380952,0.017142857142857144,0.12428571428571429,0.8164761904761905,0.6857142857142857,0.9514285714285714,0.2021276595744681,0.04061895551257253,0.3355899419729207,0.01702127659574468,0.0038684719535783366,0.029980657640232108,0.7808510638297872,0.6431334622823984,0.9410058027079303
course_1,catboost,MCP,0.11399999999999999,0.03142857142857143,0.19,0.06952380952380952,0.017142857142857144,0.12428571428571429,0.8164761904761905,0.6857142857142857,0.9514285714285714,0.2021276595744681,0.04061895551257253,0.3355899419729207,0.01702127659574468,0.0038684719535783366,0.029980657640232108,0.7808510638297872,0.6431334622823984,0.9410058027079303
course_1,logistic,EIQ-batch,0.15638095238095237,0.1138095238095238,0.19857142857142857,0.07561904761904761,0.05619047619047619,0.09476190476190476,0.768,0.7066666666666667,0.83,0.12069632495164409,0.0,0.2901353965183752,0.10019342359767891,0.01160541586073501,0.1576402321083172,0.779110251450677,0.6982591876208898,0.8858800773694391
course_1,logistic,EQ,0.19352380952380951,0.10238095238095238,0.26476190476190475,0.10361904761904764,0.0419047619047619,0.1361904761904762,0.7028571428571428,0.599047619047619,0.8557142857142858,0.32901353965183755,0.17311411992263057,0.4284332688588008,0.031334622823984526,0.004835589941972921,0.08800773694390715,0.639651837524178,0.5599613152804642,0.8085106382978723
course_1,logistic,MCP,0.17057142857142857,0.08333333333333333,0.2557142857142857,0.08838095238095238,0.03380952380952381,0.13,0.7410476190476191,0.6142857142857143,0.8828571428571429,0.28239845261121854,0.10058027079303675,0.4284332688588008,0.031334622823984526,0.004835589941972921,0.08800773694390715,0.6862669245647969,0.5599613152804642,0.8655705996131529
course_2,catboost,EIQ-batch,0.06724770642201836,0.033486238532110094,0.10458715596330276,0.04385321100917432,0.022935779816513763,0.06743119266055046,0.8888990825688075,0.8279816513761468,0.9435779816513762,0.09235737351991388,0.03444564047362755,0.1442411194833154,0.02949407965554359,0.0,0.0688912809472551,0.8781485468245425,0.8159311087190527,0.9397201291711518
course_2,catboost,EQ,0.08119266055045872,0.033486238532110094,0.1724770642201835,0.048348623853211016,0.022935779816513763,0.09220183486238533,0.8704587155963303,0.7353211009174312,0.9435779816513762,0.07298170075349839,0.01829924650161464,0.1442411194833154,0.05339074273412271,0.008611410118406888,0.11948331539289558,0.8736275565123789,0.736275565123789,0.9397201291711518
course_2,catboost,MCP,0.08119266055045872,0.033486238532110094,0.1724770642201835,0.048348623853211016,0.022935779816513763,0.09220183486238533,0.8704587155963303,0.7353211009174312,0.9435779816513762,0.07298170075349839,0.01829924650161464,0.1442411194833154,0.05339074273412271,0.008611410118406888,0.11948331539289558,0.8736275565123789,0.736275565123789,0.9397201291711518
course_2,logistic,EIQ-batch,0.1385321100917431,0.045871559633027525,0.26376146788990823,0.056972477064220185,0.025688073394495414,0.11146788990825689,0.8044954128440367,0.6247706422018349,0.9284403669724771,0.09795479009687838,0.05597416576964478,0.14639397201291712,0.0751345532831001,0.0,0.17115177610333693,0.8269106566200215,0.682454251883746,0.9203444564047363
course_2,logistic,EQ,0.20642201834862384,0.17889908256880735,0.22247706422018348,0.07532110091743119,0.06100917431192661,0.0853211009174312,0.718256880733945,0.6940366972477064,0.7600917431192661,0.0635091496232508,0.04951560818083961,0.09364908503767493,0.1403659849300323,0.10979547900968784,0.17115177610333693,0.7961248654467169,0.7793326157158235,0.8310010764262648
course_2,logistic,MCP,0.1779816513761468,0.04954128440366973,0.22247706422018348,0.06678899082568808,0.030275229357798167,0.0853211009174312,0.7552293577981651,0.6940366972477064,0.9201834862385321,0.0635091496232508,0.04951560818083961,0.09364908503767493,0.12034445640473627,0.00968783638320775,0.17115177610333693,0.8161463939720128,0.7793326157158235,0.8966630785791173
iid,catboost,EIQ-batch,0.13457943925233645,0.07593457943925233,0.2383177570093458,0.038317757009345796,0.02219626168224299,0.0689252336448598,0.8271028037383179,0.6927570093457944,0.9018691588785047,0.1280612244897959,0.0,0.2576530612244898,0.039285714285714285,0.00510204081632653,0.06377551020408163,0.8326530612244898,0.6785714285714286,0.951530612244898
iid,catboost,EQ,0.13457943925233645,0.07593457943925233,0.2383177570093458,0.038317757009345796,0.02219626168224299,0.0689252336448598,0.8271028037383179,0.6927570093457944,0.9018691588785047,0.1280612244897959,0.0,0.2576530612244898,0.039285714285714285,0.00510204081632653,0.06377551020408163,0.8326530612244898,0.6785714285714286,0.951530612244898
iid,catboost,MCP,0.13457943925233645,0.07593457943925233,0.2383177570093458,0.038317757009345796,0.02219626168224299,0.0689252336448598,0.8271028037383179,0.6927570093457944,0.9018691588785047,0.1280612244897959,0.0,0.2576530612244898,0.039285714285714285,0.00510204081632653,0.06377551020408163,0.8326530612244898,0.6785714285714286,0.951530612244898
iid,logistic,EIQ-batch,0.11822429906542056,0.05957943925233645,0.19742990654205608,0.03901869158878504,0.017523364485981307,0.07710280373831775,0.8427570093457945,0.7254672897196262,0.9228971962616822,0.13775510204081634,0.03826530612244898,0.2602040816326531,0.031632653061224494,0.00510204081632653,0.04846938775510204,0.8306122448979592,0.6913265306122449,0.9285714285714286
iid,logistic,EQ,0.1336448598130841,0.0630841121495327,0.19742990654205608,0.046261682242990654,0.01985981308411215,0.07710280373831775,0.8200934579439252,0.7254672897196262,0.9170560747663551,0.17142857142857143,0.03826530612244898,0.2602040816326531,0.031632653061224494,0.00510204081632653,0.04846938775510204,0.7969387755102041,0.6913265306122449,0.9285714285714286
iid,logistic,MCP,0.13317757009345793,0.0630841121495327,0.19742990654205608,0.046261682242990654,0.01985981308411215,0.07710280373831775,0.8205607476635514,0.7254672897196262,0.9170560747663551,0.1704081632653061,0.03826530612244898,0.2602040816326531,0.031632653061224494,0.00510204081632653,0.04846938775510204,0.7979591836734694,0.6913265306122449,0.9285714285714286
temporal_1,catboost,EIQ-batch,0.13982683982683983,0.10533910533910534,0.19624819624819625,0.08124098124098125,0.049783549783549784,0.11327561327561328,0.7789321789321789,0.7063492063492064,0.841991341991342,0.13495652173913045,0.05217391304347826,0.24347826086956523,0.08069565217391304,0.0034782608695652175,0.19304347826086957,0.7843478260869565,0.7530434782608696,0.8243478260869566
temporal_1,catboost,EQ,0.11240981240981243,0.018037518037518036,0.1774891774891775,0.05310245310245311,0.010101010101010102,0.08080808080808081,0.8344877344877345,0.7417027417027418,0.9718614718614719,0.07791304347826086,0.03304347826086956,0.14956521739130435,0.07269565217391304,0.0034782608695652175,0.15304347826086956,0.8493913043478262,0.7947826086956522,0.9634782608695652
temporal_1,catboost,MCP,0.08383838383838385,0.018037518037518036,0.14213564213564214,0.04083694083694084,0.010101010101010102,0.06565656565656566,0.8753246753246753,0.7987012987012987,0.9718614718614719,0.07791304347826086,0.03304347826086956,0.14956521739130435,0.043130434782608695,0.0034782608695652175,0.09565217391304348,0.8789565217391304,0.8173913043478261,0.9634782608695652
temporal_1,logistic,EIQ-batch,0.21067821067821066,0.07575757575757576,0.32395382395382394,0.09177489177489177,0.051226551226551224,0.14862914862914864,0.6975468975468976,0.5274170274170275,0.873015873015873,0.1502608695652174,0.08695652173913043,0.2591304347826087,0.12278260869565216,0.0,0.25217391304347825,0.7269565217391305,0.5634782608695652,0.8191304347826087
temporal_1,logistic,EQ,0.2572871572871573,0.21572871572871574,0.31024531024531027,0.09769119769119769,0.07647907647907648,0.12698412698412698,0.645021645021645,0.5627705627705628,0.7077922077922078,0.06991304347826087,0.017391304347826087,0.12695652173913044,0.1954782608695652,0.13043478260869565,0.25217391304347825,0.734608695652174,0.6521739130434783,0.8
temporal_1,logistic,MCP,0.24415584415584415,0.1810966810966811,0.31024531024531027,0.09076479076479076,0.05916305916305916,0.12698412698412698,0.665079365079365,0.5627705627705628,0.7597402597402597,0.05982608695652174,0.017391304347826087,0.09565217391304348,0.18713043478260868,0.13043478260869565,0.25217391304347825,0.7530434782608696,0.6521739130434783,0.8417391304347827
temporal_2,catboost,EIQ-batch,0.30364546104360257,0.021443888491779844,0.43173695496783415,0.1398141529664046,0.005003573981415297,0.21515368120085776,0.5565403859899928,0.3531093638313081,0.9735525375268048,0.1032967032967033,0.04709576138147567,0.18838304552590268,0.2863422291993721,0.0,0.45682888540031397,0.6103610675039246,0.45368916797488223,0.9529042386185244
temporal_2,catboost,EQ,0.35954253037884204,0.315939957112223,0.43173695496783415,0.171265189421015,0.13652609006433167,0.21515368120085776,0.469192280200143,0.3531093638313081,0.5296640457469621,0.0750392464678179,0.04709576138147567,0.10361067503924647,0.36169544740973314,0.27472527472527475,0.45682888540031397,0.563265306122449,0.45368916797488223,0.6216640502354788
temporal_2,catboost,MCP,0.35954253037884204,0.315939957112223,0.43173695496783415,0.171265189421015,0.13652609006433167,0.21515368120085776,0.469192280200143,0.3531093638313081,0.5296640457469621,0.0750392464678179,0.04709576138147567,0.10361067503924647,0.36169544740973314,0.27472527472527475,0.45682888540031397,0.563265306122449,0.45368916797488223,0.6216640502354788
temporal_2,logistic,EIQ-batch,0.39399571122230165,0.35525375268048603,0.4610436025732666,0.1821300929235168,0.13795568263045033,0.22444603288062903,0.42387419585418157,0.31451036454610437,0.4960686204431737,0.13877551020408163,0.0,0.27001569858712715,0.3588697017268446,0.24489795918367346,0.4379905808477237,0.5023547880690737,0.34850863422291994,0.6153846153846154
temporal_2,logistic,EQ,0.3576840600428878,0.2794853466761973,0.42101501072194425,0.1559685489635454,0.10793423874195854,0.1837026447462473,0.48634739099356683,0.39528234453180844,0.6125804145818442,0.09324960753532183,0.0,0.21036106750392464,0.3221350078492936,0.22919937205651492,0.38461538461538464,0.5846153846153846,0.44427001569858715,0.728414442700157
temporal_2,logistic,MCP,0.35739814152966404,0.2794853466761973,0.42101501072194425,0.1559685489635454,0.10793423874195854,0.1837026447462473,0.48663330950679057,0.39528234453180844,0.6125804145818442,0.09324960753532183,0.0,0.21036106750392464,0.3221350078492936,0.22919937205651492,0.38461538461538464,0.5846153846153846,0.44427001569858715,0.728414442700157
