setting,model,calibration,method,course,seed,nominal_coverage,observed_coverage,coverage_gap,average_set_size,singleton_rate,ambiguity_rate,empty_set_rate,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,deferral_rate,n_automatic,undercoverage,overcoverage,n_test,n_pass,n_fail,coverage_ci_lower,coverage_ci_upper,pass_ci_lower,pass_ci_upper,fail_ci_lower,fail_ci_upper,automatic_error_ci_lower,automatic_error_ci_upper,automatic_false_negative_fraction,automatic_false_positive_fraction,review_fraction
temporal_1,catboost,isotonic,EQ,Accountancy,7,0.9,0.9673758865248226,0.06737588652482263,1.899290780141844,0.10070921985815603,0.8992907801418439,0.0,0.959079283887468,0.9777070063694268,0.10070921985815603,0.323943661971831,0.8992907801418439,71,0.0,0.06737588652482263,705,391,314,0.9515220193877344,0.9781640081428563,0.9345683961725177,0.9746572993060048,0.9547065873125636,0.9891602106599465,0.2265721171064956,0.4393884294417052,0.022292993630573247,0.04092071611253197,0.8992907801418439
temporal_1,catboost,isotonic,EQ,Accountancy,19,0.9,0.9404255319148936,0.04042553191489362,1.825531914893617,0.17446808510638298,0.825531914893617,0.0,0.9718670076726342,0.9012738853503185,0.17446808510638298,0.34146341463414637,0.825531914893617,123,0.0,0.04042553191489362,705,391,314,0.9204512794499052,0.9556261455827154,0.950332580743966,0.9842197357785265,0.8632739142469631,0.9295741960499456,0.2636013620103963,0.4289281913186044,0.09872611464968153,0.028132992327365727,0.825531914893617
temporal_1,catboost,isotonic,EQ,Accountancy,42,0.9,0.9929078014184397,0.09290780141843968,1.9787234042553192,0.02127659574468085,0.9787234042553191,0.0,0.9872122762148338,1.0,0.02127659574468085,0.3333333333333333,0.9787234042553191,15,0.0,0.09290780141843968,705,391,314,0.9835061816444963,0.9969669429894348,0.970418447697022,0.9945258140782346,0.9879139152112274,1.0000000000000002,0.1517632443971473,0.5828645226148023,0.0,0.01278772378516624,0.9787234042553191
temporal_1,catboost,isotonic,EQ,Accountancy,73,0.9,0.950354609929078,0.05035460992907803,1.8113475177304965,0.18865248226950354,0.8113475177304964,0.0,0.969309462915601,0.9267515923566879,0.18865248226950354,0.2631578947368421,0.8113475177304964,133,0.0,0.05035460992907803,705,391,314,0.9317385229636698,0.964089439831361,0.9471288448575721,0.9823581474561265,0.8924898317592519,0.9506978410961905,0.19572831006015984,0.3438848996868214,0.0732484076433121,0.030690537084398978,0.8113475177304965
temporal_1,catboost,isotonic,EQ,Accountancy,101,0.9,0.9602836879432625,0.06028368794326244,1.8709219858156028,0.12907801418439716,0.8709219858156029,0.0,0.9335038363171355,0.9936305732484076,0.12907801418439716,0.3076923076923077,0.8709219858156029,91,0.0,0.06028368794326244,705,391,314,0.9431978024440473,0.9723806981133936,0.9043519616177298,0.9542204917728527,0.9770774925165568,0.9982515320550371,0.22226810686646445,0.4086949715677203,0.006369426751592357,0.06649616368286446,0.8709219858156029
temporal_1,catboost,isotonic,EQ,Global economics,7,0.9,0.9001468428781204,0.0001468428781203901,1.7342143906020557,0.2657856093979442,0.7342143906020558,0.0,0.9285714285714286,0.8544061302681992,0.2657856093979442,0.3756906077348066,0.7342143906020558,181,0.0,0.0001468428781203901,681,420,261,0.8753365658433419,0.9204680586875635,0.8998630370759932,0.9495111628941371,0.8064781480688554,0.8920529687124137,0.3084089078155917,0.448139215710893,0.14559386973180077,0.07142857142857142,0.7342143906020557
temporal_1,catboost,isotonic,EQ,Global economics,19,0.9,0.8972099853157122,0.002790014684287856,1.6549192364170338,0.34508076358296624,0.6549192364170338,0.0,0.969047619047619,0.7816091954022989,0.34508076358296624,0.2978723404255319,0.6549192364170338,235,0.002790014684287856,0.0,681,420,261,0.8721286006735659,0.9178352559708741,0.9477692774870852,0.9818235969246685,0.7275986706045315,0.8274503789459905,0.24303381696285398,0.35921279269581696,0.21839080459770116,0.030952380952380953,0.6549192364170338
temporal_1,catboost,isotonic,EQ,Global economics,42,0.9,0.986784140969163,0.08678414096916298,1.9647577092511013,0.03524229074889868,0.9647577092511013,0.0,0.9833333333333333,0.9923371647509579,0.03524229074889868,0.375,0.9647577092511013,24,0.0,0.08678414096916298,681,420,261,0.9750754861695937,0.99303179101204,0.9660016206431093,0.991903727100982,0.9724958230538083,0.9978960526909819,0.21159367559548778,0.5729003755732572,0.007662835249042145,0.016666666666666666,0.9647577092511013
temporal_1,catboost,isotonic,EQ,Global economics,73,0.9,0.9309838472834068,0.03098384728340675,1.7856093979441998,0.2143906020558003,0.7856093979441997,0.0,0.9642857142857143,0.8773946360153256,0.2143906020558003,0.3219178082191781,0.7856093979441997,146,0.0,0.03098384728340675,681,420,261,0.9094285238444034,0.9477041634943885,0.9419161663396255,0.9782392169613491,0.832042201921033,0.9117990413541563,0.25153647806039703,0.4014300613122267,0.12260536398467432,0.03571428571428571,0.7856093979441997
temporal_1,catboost,isotonic,EQ,Global economics,101,0.9,0.9397944199706314,0.03979441997063138,1.8120411160058738,0.18795888399412627,0.8120411160058737,0.0,0.9428571428571428,0.9348659003831418,0.18795888399412627,0.3203125,0.8120411160058737,128,0.0,0.03979441997063138,681,420,261,0.9193424202533479,0.9553125707448399,0.9163839013517245,0.9613027719507434,0.8981772964996203,0.9589392630103696,0.24573020610600924,0.40536588755478287,0.06513409961685823,0.05714285714285714,0.8120411160058737
temporal_1,catboost,isotonic,MCP,Accountancy,7,0.9,0.9673758865248226,0.06737588652482263,1.899290780141844,0.10070921985815603,0.8992907801418439,0.0,0.959079283887468,0.9777070063694268,0.10070921985815603,0.323943661971831,0.8992907801418439,71,0.0,0.06737588652482263,705,391,314,0.9515220193877344,0.9781640081428563,0.9345683961725177,0.9746572993060048,0.9547065873125636,0.9891602106599465,0.2265721171064956,0.4393884294417052,0.022292993630573247,0.04092071611253197,0.8992907801418439
