setting,course,model,method,metric,estimate,lower,upper,n_test,n_fail,n_automatic_mean,n_automatic_min,n_automatic_max,finite_replicates
course_2,pooled,catboost,EIQ-batch,singleton_error,0.39605514546679865,0.3537983060921685,0.43920276538150643,2180,929,242.2,123,375,2000
course_2,pooled,catboost,EIQ-batch,missed_failure,0.029494079655543595,0.023401950162513542,0.03592619818740663,2180,929,242.2,123,375,2000
course_2,pooled,catboost,EQ,coverage,0.951651376146789,0.9457798165137614,0.9571559633027522,2180,929,282.4,123,577,2000
course_2,pooled,catboost,EQ,fail_coverage,0.9466092572658773,0.9375767304412068,0.9556713479504421,2180,929,282.4,123,577,2000
course_2,pooled,catboost,EQ,automatic_coverage,0.12954128440366972,0.12109862385321099,0.13780045871559635,2180,929,282.4,123,577,2000
course_2,pooled,catboost,EQ,review_fraction,0.8704587155963303,0.8621995412844037,0.878901376146789,2180,929,282.4,123,577,2000
course_2,pooled,catboost,EQ,singleton_error,0.3832018970380817,0.34166748273138553,0.4267830137186519,2180,929,282.4,123,577,2000
course_2,pooled,catboost,EQ,missed_failure,0.05339074273412271,0.044328652049557896,0.062423269558793175,2180,929,282.4,123,577,2000
course_2,pooled,catboost,MCP,coverage,0.951651376146789,0.9457798165137614,0.9571559633027522,2180,929,282.4,123,577,2000
course_2,pooled,catboost,MCP,fail_coverage,0.9466092572658773,0.9375767304412068,0.9556713479504421,2180,929,282.4,123,577,2000
course_2,pooled,catboost,MCP,automatic_coverage,0.12954128440366972,0.12109862385321099,0.13780045871559635,2180,929,282.4,123,577,2000
course_2,pooled,catboost,MCP,review_fraction,0.8704587155963303,0.8621995412844037,0.878901376146789,2180,929,282.4,123,577,2000
course_2,pooled,catboost,MCP,singleton_error,0.3832018970380817,0.34166748273138553,0.4267830137186519,2180,929,282.4,123,577,2000
course_2,pooled,catboost,MCP,missed_failure,0.05339074273412271,0.044328652049557896,0.062423269558793175,2180,929,282.4,123,577,2000
course_2,pooled,logistic,EIQ-batch,coverage,0.9430275229357798,0.935869266055046,0.9505504587155963,2180,929,426.2,156,818,2000
course_2,pooled,logistic,EIQ-batch,fail_coverage,0.9248654467169,0.9133185766915812,0.9369594688129164,2180,929,426.2,156,818,2000
course_2,pooled,logistic,EIQ-batch,automatic_coverage,0.1955045871559633,0.18394495412844036,0.20715825688073394,2180,929,426.2,156,818,2000
course_2,pooled,logistic,EIQ-batch,review_fraction,0.8044954128440367,0.792841743119266,0.8160550458715596,2180,929,426.2,156,818,2000
course_2,pooled,logistic,EIQ-batch,singleton_error,0.30718499644634745,0.2683825407236154,0.3474868690243476,2180,929,426.2,156,818,2000
course_2,pooled,logistic,EIQ-batch,missed_failure,0.0751345532831001,0.06304053118708365,0.08668142330841881,2180,929,426.2,156,818,2000
course_2,pooled,logistic,EQ,coverage,0.9246788990825688,0.9150458715596331,0.9344036697247706,2180,929,614.2,523,667,2000
course_2,pooled,logistic,EQ,fail_coverage,0.8596340150699677,0.8400850890685363,0.8798812552434845,2180,929,614.2,523,667,2000
course_2,pooled,logistic,EQ,automatic_coverage,0.28174311926605505,0.2651376146788991,0.29761467889908255,2180,929,614.2,523,667,2000
course_2,pooled,logistic,EQ,review_fraction,0.7182568807339449,0.7023853211009174,0.7348623853211009,2180,929,614.2,523,667,2000
course_2,pooled,logistic,EQ,singleton_error,0.26686735043220017,0.23494749599783035,0.2983546570181923,2180,929,614.2,523,667,2000
course_2,pooled,logistic,EQ,missed_failure,0.1403659849300323,0.12011874475651552,0.15991491093146373,2180,929,614.2,523,667,2000
course_2,pooled,logistic,MCP,coverage,0.9332110091743119,0.9249518348623853,0.9419266055045871,2180,929,533.6,174,667,2000
course_2,pooled,logistic,MCP,fail_coverage,0.8796555435952638,0.8635951241503675,0.8962011759388138,2180,929,533.6,174,667,2000
course_2,pooled,logistic,MCP,automatic_coverage,0.24477064220183486,0.23082568807339449,0.25807568807339454,2180,929,533.6,174,667,2000
course_2,pooled,logistic,MCP,review_fraction,0.7552293577981651,0.7419243119266055,0.7691743119266055,2180,929,533.6,174,667,2000
course_2,pooled,logistic,MCP,singleton_error,0.28761676775127026,0.25370844055942066,0.3207459960171154,2180,929,533.6,174,667,2000
course_2,pooled,logistic,MCP,missed_failure,0.12034445640473627,0.10379882406118614,0.1364048758496324,2180,929,533.6,174,667,2000
iid,pooled,catboost,EIQ-batch,coverage,0.9616822429906542,0.9516355140186915,0.9705607476635514,856,392,148.0,84,263,2000
iid,pooled,catboost,EIQ-batch,fail_coverage,0.9607142857142857,0.9461322911051212,0.9744245524296675,856,392,148.0,84,263,2000
iid,pooled,catboost,EIQ-batch,automatic_coverage,0.17289719626168223,0.15560747663551402,0.1911214953271028,856,392,148.0,84,263,2000
iid,pooled,catboost,EIQ-batch,review_fraction,0.8271028037383178,0.8088785046728972,0.844392523364486,856,392,148.0,84,263,2000
iid,pooled,catboost,EIQ-batch,singleton_error,0.21858347366886677,0.16758127560948963,0.270851700268658,856,392,148.0,84,263,2000
iid,pooled,catboost,EIQ-batch,missed_failure,0.039285714285714285,0.025575447570332484,0.05386770889487869,856,392,148.0,84,263,2000
